Country,Region,Year,Energy_Type,Production_GWh,CO2_Saved_tons
United Kingdom,Europe,2015,Solar,7626.4,11511.19
United Kingdom,Europe,2015,Biomass,7575.11,5715.59
United Kingdom,Europe,2015,Geothermal,5278.28,7089.47
United Kingdom,Europe,2015,Hydro,1172.3,1743.51
Canada,North America,2015,Tidal,4921.53,7811.62
Canada,North America,2015,Geothermal,2123.98,3256.61
Canada,North America,2015,Solar,3507.52,3492.74
Canada,North America,2015,Hydro,6591.43,10520.56
Mexico,North America,2015,Geothermal,2778.41,3997.23
Mexico,North America,2015,Biomass,6050.87,6030.92
Mexico,North America,2015,Hydro,4019.37,4424.49
Mexico,North America,2015,Tidal,1170.56,1864.22
Mexico,North America,2015,Wind,2887.24,3913.97
United States,North America,2015,Geothermal,1102.27,1310.89
United States,North America,2015,Tidal,1716.95,1608.09
United States,North America,2015,Hydro,270.58,216.15
United States,North America,2015,Solar,3099.3,3956.87
Australia,Oceania,2015,Wind,2996.3,4685.7
Australia,Oceania,2015,Tidal,1577.75,2155.08
Australia,Oceania,2015,Hydro,2822.3,2866.41
Australia,Oceania,2015,Geothermal,722.42,455.75
Argentina,South America,2015,Biomass,4147.05,5842.76
Argentina,South America,2015,Tidal,506.64,560.14
Argentina,South America,2015,Geothermal,785.18,842.62
Argentina,South America,2015,Solar,4216.84,4508.78
Brazil,South America,2015,Wind,4022.26,4104.16
Brazil,South America,2015,Hydro,3686.3,5554.4
Brazil,South America,2015,Tidal,767.07,462.91
Brazil,South America,2015,Solar,2091.41,2863.08
Brazil,South America,2015,Geothermal,2801.17,3191.37
Chile,South America,2015,Wind,5016.01,6899.69
Chile,South America,2015,Tidal,681.82,727.42
Chile,South America,2015,Geothermal,4249.75,4502.05
Chile,South America,2015,Hydro,4543.75,6988.4
South Africa,Africa,2016,Hydro,3220.72,2754.09
South Africa,Africa,2016,Geothermal,5460.18,4523.24
South Africa,Africa,2016,Biomass,6080.65,5135.42
South Africa,Africa,2016,Solar,1358.89,1783.3
South Africa,Africa,2016,Wind,4100.9,3937.37
South Africa,Africa,2016,Tidal,1026.31,1571.44
China,Asia,2016,Geothermal,4377.87,4652.41
China,Asia,2016,Biomass,6954.23,7300.09
China,Asia,2016,Solar,2710.74,2371.01
China,Asia,2016,Hydro,768.33,1125.03
China,Asia,2016,Tidal,2018.36,2171.01
China,Asia,2016,Wind,2359.09,2481.56
India,Asia,2016,Tidal,4124.93,6405.15
India,Asia,2016,Wind,3437.29,4133.76
India,Asia,2016,Biomass,1719.28,2127.63
India,Asia,2016,Hydro,3446.89,2214.13
India,Asia,2016,Solar,8064.44,7429.05
Japan,Asia,2016,Hydro,2153.86,2627.14
Japan,Asia,2016,Solar,2278.15,3570.02
Japan,Asia,2016,Wind,3454.57,4564.87
Japan,Asia,2016,Biomass,328.29,299.96
Japan,Asia,2016,Geothermal,2786.49,1759.86
Saudi Arabia,Asia,2016,Hydro,711.63,807.68
Saudi Arabia,Asia,2016,Tidal,4187.31,6691.17
Saudi Arabia,Asia,2016,Biomass,1989.35,2175.51
Saudi Arabia,Asia,2016,Wind,4069.05,4975.45
South Korea,Asia,2016,Solar,6447.11,6418.81
South Korea,Asia,2016,Biomass,1461.3,2089.5
South Korea,Asia,2016,Geothermal,4312.28,5231.37
South Korea,Asia,2016,Tidal,950.94,1311.09
United Arab Emirates,Asia,2016,Solar,6515.35,7787.35
United Arab Emirates,Asia,2016,Biomass,429.31,591.34
United Arab Emirates,Asia,2016,Tidal,282.68,322.24
United Arab Emirates,Asia,2016,Geothermal,4966.89,4106.22
United Arab Emirates,Asia,2016,Hydro,1597.93,2264.49
Denmark,Europe,2016,Biomass,5415.57,7742.35
Denmark,Europe,2016,Hydro,5527.41,5313.23
Denmark,Europe,2016,Wind,1236.37,1198.58
Denmark,Europe,2016,Solar,7800.48,7479.07
Finland,Europe,2016,Hydro,2078.2,3264.28
Finland,Europe,2016,Wind,1138.06,1581.16
Finland,Europe,2016,Tidal,3914.64,4957.33
Finland,Europe,2016,Solar,5352.67,7718.06
Finland,Europe,2016,Geothermal,2073.09,2189.03
Finland,Europe,2016,Biomass,4437.06,3927.89
France,Europe,2016,Hydro,4534.31,3643.58
Germany,Europe,2016,Hydro,7224.57,6863.06
Germany,Europe,2016,Solar,8821.52,8637.38
Germany,Europe,2016,Geothermal,7999.91,10833.74
Germany,Europe,2016,Tidal,2907.13,2377.93
Italy,Europe,2016,Biomass,8943.46,11171.99
Italy,Europe,2016,Wind,9174.11,13400.34
Italy,Europe,2016,Tidal,2972.09,4543.87
Netherlands,Europe,2016,Solar,757.24,542.39
Netherlands,Europe,2016,Wind,6307.8,8054.51
Netherlands,Europe,2016,Geothermal,1674.36,1160.35
Netherlands,Europe,2016,Tidal,3212.77,2792.14
Netherlands,Europe,2016,Biomass,1006.82,1541.84
Norway,Europe,2016,Solar,1598.19,1328.35
Norway,Europe,2016,Geothermal,716.64,973.34
Norway,Europe,2016,Wind,2812.9,1968.49
Norway,Europe,2016,Biomass,3076.69,2370.63
Poland,Europe,2016,Tidal,1515.99,2331.73
Poland,Europe,2016,Wind,3482.66,4797.93
Poland,Europe,2016,Geothermal,3836.6,3898.84
Poland,Europe,2016,Hydro,246.8,192.36
Spain,Europe,2016,Wind,2051,2919.61
Spain,Europe,2016,Hydro,773.85,487.96
Spain,Europe,2016,Solar,2124.29,2244.2
Sweden,Europe,2016,Geothermal,1332.22,1708.78
Sweden,Europe,2016,Hydro,3388.9,4663.62
Sweden,Europe,2016,Solar,5386.63,7918.98
Sweden,Europe,2016,Biomass,2268.69,2216.96
Sweden,Europe,2016,Wind,5700.57,7112.22
United Kingdom,Europe,2016,Wind,2322.71,2986.26
United Kingdom,Europe,2016,Hydro,4208.87,4201.04
United Kingdom,Europe,2016,Geothermal,6119.68,6454.53
United Kingdom,Europe,2016,Biomass,6632.69,4121.27
United Kingdom,Europe,2016,Tidal,1195.47,1392.22
Canada,North America,2016,Biomass,9605.87,6650.13
Canada,North America,2016,Wind,2656.96,1900.87
Canada,North America,2016,Solar,8684.04,7810.24
Canada,North America,2016,Tidal,364.53,499.81
Canada,North America,2016,Geothermal,6112.16,5280.81
Canada,North America,2016,Hydro,2357.55,2840.45
Mexico,North America,2016,Tidal,686.65,720.19
Mexico,North America,2016,Hydro,1012.58,763.71
Mexico,North America,2016,Geothermal,5528.94,5068.26
Mexico,North America,2016,Wind,1218.81,1485.26
United States,North America,2016,Biomass,472.35,393.37
United States,North America,2016,Solar,3371.42,4058.27
United States,North America,2016,Geothermal,3401.22,2196.59
United States,North America,2016,Wind,3136.68,4934.36
Australia,Oceania,2016,Wind,4709.85,3021.89
Australia,Oceania,2016,Biomass,3574.34,3713.99
Australia,Oceania,2016,Geothermal,2000.28,3199.07
Argentina,South America,2016,Geothermal,2913.32,4076.82
Argentina,South America,2016,Solar,1399.72,1233.11
Argentina,South America,2016,Biomass,867.59,646.42
Argentina,South America,2016,Wind,1021.63,791.37
Brazil,South America,2016,Biomass,528.21,334.66
Brazil,South America,2016,Solar,3219.75,3684.83
Brazil,South America,2016,Tidal,353.1,473.35
Chile,South America,2016,Hydro,1749.63,1821.57
Chile,South America,2016,Geothermal,1590.84,978.77
South Africa,Africa,2017,Hydro,2525.99,2783.74
South Africa,Africa,2017,Tidal,3838.03,2333.4
South Africa,Africa,2017,Solar,11981.58,16063.29
South Africa,Africa,2017,Wind,4283.74,5655.77
South Africa,Africa,2017,Biomass,4268.85,3766.44
China,Asia,2017,Biomass,5493.73,6852.36
China,Asia,2017,Solar,1113.25,1668.9
China,Asia,2017,Hydro,2569.74,2885.17
India,Asia,2017,Hydro,6391.71,9899.63
India,Asia,2017,Tidal,2953.92,3431.49
India,Asia,2017,Geothermal,5967.37,6739.91
India,Asia,2017,Biomass,2908.42,2075.01
India,Asia,2017,Wind,4190.92,4119.06
India,Asia,2017,Solar,9355.13,5938.63
Japan,Asia,2017,Wind,1402.01,1769.65
Japan,Asia,2017,Solar,5270.93,3490.84
Japan,Asia,2017,Geothermal,2964.87,3916.37
Japan,Asia,2017,Hydro,820.96,1241.39
Japan,Asia,2017,Biomass,3050.94,2417.15
Saudi Arabia,Asia,2017,Biomass,8698.86,5510.82
Saudi Arabia,Asia,2017,Hydro,7233.93,10252.29
Saudi Arabia,Asia,2017,Tidal,4059.1,6421.97
Saudi Arabia,Asia,2017,Solar,5882.88,8492.21
Saudi Arabia,Asia,2017,Wind,9432.37,6332.75
South Korea,Asia,2017,Hydro,2015.76,2603.79
South Korea,Asia,2017,Tidal,3049.77,4726.39
South Korea,Asia,2017,Biomass,3077.66,3458.73
South Korea,Asia,2017,Solar,2609.9,2645.29
South Korea,Asia,2017,Wind,5331.65,6998.51
United Arab Emirates,Asia,2017,Biomass,2281.68,3134.63
United Arab Emirates,Asia,2017,Tidal,1215.72,1322.53
United Arab Emirates,Asia,2017,Geothermal,2247.64,1459.42
Denmark,Europe,2017,Biomass,2462.82,1938.01
Denmark,Europe,2017,Hydro,5078.69,5495.7
Denmark,Europe,2017,Wind,10144.44,11324.97
Finland,Europe,2017,Solar,701.81,643.3
Finland,Europe,2017,Biomass,1225.95,1297.11
Finland,Europe,2017,Wind,1348.1,1567.15
Finland,Europe,2017,Geothermal,1908.57,2901.85
France,Europe,2017,Solar,4952.87,3553.52
France,Europe,2017,Biomass,2444.48,3397.84
France,Europe,2017,Geothermal,5325.42,5901.85
France,Europe,2017,Hydro,5318.23,4487.16
France,Europe,2017,Wind,5566.84,6172.91
Germany,Europe,2017,Geothermal,9023.1,6099.58
Germany,Europe,2017,Biomass,1947.71,2673.19
Germany,Europe,2017,Tidal,1584.87,2510.19
Germany,Europe,2017,Wind,9518.79,14894.25
Germany,Europe,2017,Solar,3641.44,4396.12
Italy,Europe,2017,Biomass,4519.03,6944.34
Italy,Europe,2017,Tidal,1102.53,1744.62
Italy,Europe,2017,Wind,1606.03,2134.14
Italy,Europe,2017,Geothermal,4550.38,6921.3
Italy,Europe,2017,Solar,5701.13,4420.38
Netherlands,Europe,2017,Hydro,3021.46,2284.21
Netherlands,Europe,2017,Solar,9409.63,10341.18
Netherlands,Europe,2017,Tidal,2271.63,3601.35
Netherlands,Europe,2017,Wind,6627.89,5347.24
Netherlands,Europe,2017,Geothermal,4581.94,5788.93
Netherlands,Europe,2017,Biomass,4365.85,2804.02
Norway,Europe,2017,Solar,1542.74,1543.94
Norway,Europe,2017,Geothermal,4118.66,3127.69
Norway,Europe,2017,Tidal,901.69,567
Poland,Europe,2017,Geothermal,3116.47,3551.91
Poland,Europe,2017,Tidal,1949.06,3057.24
Poland,Europe,2017,Solar,1291.29,1420.27
Poland,Europe,2017,Wind,5642.19,5347.97
Poland,Europe,2017,Hydro,560.47,633.44
Spain,Europe,2017,Solar,5676.71,8271.6
Spain,Europe,2017,Biomass,1738.37,2724.07
Spain,Europe,2017,Wind,1957.97,1976.58
Sweden,Europe,2017,Tidal,798.49,649.45
Sweden,Europe,2017,Biomass,2194.11,2229.06
Sweden,Europe,2017,Geothermal,2078.06,1703.93
Sweden,Europe,2017,Solar,4538.8,3425.91
United Kingdom,Europe,2017,Hydro,1635.99,1194.26
United Kingdom,Europe,2017,Biomass,2785.63,2573.29
United Kingdom,Europe,2017,Geothermal,5416.19,3389.34
Canada,North America,2017,Biomass,11495.39,9312.15
Canada,North America,2017,Solar,9376.12,10798.29
Canada,North America,2017,Hydro,9311.84,11011.34
Canada,North America,2017,Tidal,3488.81,5177.86
Canada,North America,2017,Wind,1256.8,1863.97
Mexico,North America,2017,Hydro,775.2,1163.68
Mexico,North America,2017,Solar,788.43,752.09
Mexico,North America,2017,Wind,2584.96,2546.8
Mexico,North America,2017,Tidal,1308.11,1418.29
Mexico,North America,2017,Geothermal,5669.06,4362.81
United States,North America,2017,Geothermal,3957.64,5445.71
United States,North America,2017,Solar,1486.48,2284.21
Australia,Oceania,2017,Tidal,4195.42,6681.15
Australia,Oceania,2017,Hydro,1094.78,1246.7
Australia,Oceania,2017,Wind,1103.54,890.49
Australia,Oceania,2017,Geothermal,1655.06,1435.5
Argentina,South America,2017,Biomass,3095.99,2306.98
Argentina,South America,2017,Hydro,1102.03,1100.65
Brazil,South America,2017,Wind,1548.95,2192.98
Brazil,South America,2017,Tidal,2849.88,2927.4
Brazil,South America,2017,Hydro,2716.88,3457.32
Brazil,South America,2017,Geothermal,808.91,1019.4
Chile,South America,2017,Solar,4758.58,4467.06
Chile,South America,2017,Biomass,5834.07,7659.54
Chile,South America,2017,Wind,3571.02,4554.82
Chile,South America,2017,Hydro,2082.01,1621.85
Chile,South America,2017,Tidal,5097.03,6910.26
South Africa,Africa,2018,Wind,5996.7,8231.15
South Africa,Africa,2018,Biomass,11693.87,7033.42
South Africa,Africa,2018,Solar,4201.4,5137.13
South Africa,Africa,2018,Hydro,6773.97,5724.86
China,Asia,2018,Biomass,6921.34,9266.11
China,Asia,2018,Tidal,3379.3,3458.4
China,Asia,2018,Solar,9345.34,13768.3
China,Asia,2018,Geothermal,3200.8,4454.43
China,Asia,2018,Wind,1567.35,1488.7
India,Asia,2018,Hydro,8851.77,9251.08
India,Asia,2018,Geothermal,7340.35,6750.1
India,Asia,2018,Biomass,4321.37,6444.6
India,Asia,2018,Tidal,7580.86,9382.83
Japan,Asia,2018,Wind,4254,5936.05
Japan,Asia,2018,Solar,1322.98,1726.47
Japan,Asia,2018,Biomass,2818.13,2666.98
Japan,Asia,2018,Hydro,2149.77,2106.12
Saudi Arabia,Asia,2018,Geothermal,2065.83,2546.98
Saudi Arabia,Asia,2018,Wind,10920.43,12241
Saudi Arabia,Asia,2018,Hydro,2519.49,3747.79
Saudi Arabia,Asia,2018,Solar,5860.33,5409.45
Saudi Arabia,Asia,2018,Tidal,758.94,1049.97
South Korea,Asia,2018,Hydro,3505.71,3188.51
South Korea,Asia,2018,Wind,2364.4,3472.87
South Korea,Asia,2018,Biomass,4639.77,3958.24
South Korea,Asia,2018,Tidal,3633.06,2200.73
United Arab Emirates,Asia,2018,Geothermal,2952.01,1842.66
United Arab Emirates,Asia,2018,Tidal,304.28,431.52
United Arab Emirates,Asia,2018,Wind,3750.05,3462.84
United Arab Emirates,Asia,2018,Hydro,3381.06,3460.65
Denmark,Europe,2018,Tidal,3246.4,2868.05
Denmark,Europe,2018,Solar,8355.8,9014.36
Denmark,Europe,2018,Biomass,7151.99,8322.09
Denmark,Europe,2018,Wind,8063.58,5019.14
Finland,Europe,2018,Biomass,5202.6,5441.78
France,Europe,2018,Tidal,3146.74,4470.72
France,Europe,2018,Solar,4381.46,7005.53
France,Europe,2018,Wind,3521.3,3328.06
Germany,Europe,2018,Geothermal,9264.66,14503.58
Germany,Europe,2018,Hydro,6777.89,9683.62
Germany,Europe,2018,Solar,7087.06,6878.49
Germany,Europe,2018,Wind,10840.08,15418.18
Germany,Europe,2018,Biomass,6952.88,7533.43
Italy,Europe,2018,Geothermal,4405.71,6913.01
Italy,Europe,2018,Tidal,2965.57,3709.84
Italy,Europe,2018,Wind,5172.7,4475.48
Netherlands,Europe,2018,Geothermal,4900.78,3797.13
Netherlands,Europe,2018,Biomass,4424.24,5703.78
Netherlands,Europe,2018,Hydro,2997.56,3419.52
Netherlands,Europe,2018,Tidal,1577.98,1460.32
Norway,Europe,2018,Geothermal,3575.48,5641.73
Norway,Europe,2018,Solar,7917.25,5784.78
Norway,Europe,2018,Wind,2647.96,1710.51
Norway,Europe,2018,Biomass,2877.58,3742.52
Poland,Europe,2018,Biomass,4018.23,4792.57
Poland,Europe,2018,Geothermal,4315.99,4683.11
Poland,Europe,2018,Wind,2763.89,2582.29
Poland,Europe,2018,Solar,4126.54,2653.84
Poland,Europe,2018,Hydro,640.05,857.93
Spain,Europe,2018,Solar,4284.16,6101.98
Spain,Europe,2018,Wind,2572.39,3247.27
Spain,Europe,2018,Biomass,1877.42,2461.47
Spain,Europe,2018,Tidal,772.1,1054.28
Sweden,Europe,2018,Tidal,3029.5,4308.28
Sweden,Europe,2018,Geothermal,5928.49,7603.59
Sweden,Europe,2018,Solar,1795.53,2428.73
Sweden,Europe,2018,Biomass,5888.9,5805.72
United Kingdom,Europe,2018,Wind,10080.11,6485.19
United Kingdom,Europe,2018,Geothermal,5358.62,5367.29
United Kingdom,Europe,2018,Hydro,6862.92,7261.26
United Kingdom,Europe,2018,Solar,11513.43,12817.19
Canada,North America,2018,Solar,3013.3,4609.99
Canada,North America,2018,Geothermal,11329.33,9820.33
Canada,North America,2018,Tidal,2996.19,2712.12
Canada,North America,2018,Hydro,3136.74,4801.77
Canada,North America,2018,Biomass,8643.54,12607.41
Canada,North America,2018,Wind,13610.78,20163.23
Mexico,North America,2018,Hydro,4730.34,6641.76
Mexico,North America,2018,Geothermal,5241.63,7650.2
Mexico,North America,2018,Solar,2281.97,2795.49
United States,North America,2018,Tidal,1822.93,2058.3
Australia,Oceania,2018,Geothermal,4707.17,3262.51
Australia,Oceania,2018,Hydro,1504,1525.39
Australia,Oceania,2018,Solar,5384.76,4575.31
Australia,Oceania,2018,Wind,5569.96,7108.58
Australia,Oceania,2018,Biomass,4417.52,4280.89
Argentina,South America,2018,Geothermal,2272.37,3120.31
Argentina,South America,2018,Solar,6667.78,4274.16
Argentina,South America,2018,Hydro,2733.56,2370.24
Argentina,South America,2018,Biomass,4277.61,3400.38
Brazil,South America,2018,Hydro,2442.29,3539.71
Brazil,South America,2018,Tidal,1541.5,2346.51
Brazil,South America,2018,Geothermal,4181.23,6333.48
Brazil,South America,2018,Wind,2735.3,2049.33
Chile,South America,2018,Geothermal,4198.08,5455.89
Chile,South America,2018,Tidal,1286.06,1364.82
Chile,South America,2018,Wind,6270.82,8216.13
Chile,South America,2018,Hydro,1734.28,2533.95
South Africa,Africa,2019,Biomass,5589.86,5785.41
China,Asia,2019,Solar,2007.18,1634.23
China,Asia,2019,Geothermal,957.55,897
China,Asia,2019,Biomass,2766,2108.38
China,Asia,2019,Wind,2640.75,1947.73
China,Asia,2019,Tidal,5065.53,3877.86
China,Asia,2019,Hydro,962.17,1319.01
India,Asia,2019,Biomass,9043.4,6093
India,Asia,2019,Tidal,4179.47,5350.18
India,Asia,2019,Hydro,5362.61,6499.21
Japan,Asia,2019,Geothermal,3378.55,2044.64
Japan,Asia,2019,Hydro,524.06,531.03
Japan,Asia,2019,Biomass,2498.95,3835.97
Japan,Asia,2019,Wind,1706.67,2167.19
Japan,Asia,2019,Tidal,937.75,1466.56
Saudi Arabia,Asia,2019,Wind,6989.5,10699.87
Saudi Arabia,Asia,2019,Hydro,1809.18,2251.66
Saudi Arabia,Asia,2019,Geothermal,2844.27,2368.35
Saudi Arabia,Asia,2019,Biomass,12634.67,17758.35
South Korea,Asia,2019,Tidal,2899.73,2256.71
South Korea,Asia,2019,Wind,5536.59,4676.83
South Korea,Asia,2019,Biomass,9548.62,8578.88
South Korea,Asia,2019,Geothermal,4541.1,2891.41
United Arab Emirates,Asia,2019,Tidal,754.74,980.22
United Arab Emirates,Asia,2019,Wind,4389.95,6702.27
United Arab Emirates,Asia,2019,Biomass,2789.83,2395.51
United Arab Emirates,Asia,2019,Solar,5012.17,7281.5
United Arab Emirates,Asia,2019,Geothermal,410.12,331.79
United Arab Emirates,Asia,2019,Hydro,529.49,685.05
Denmark,Europe,2019,Wind,8166.25,11388.78
Denmark,Europe,2019,Hydro,6912.87,5976.32
Denmark,Europe,2019,Geothermal,5647.78,6724.22
Denmark,Europe,2019,Tidal,4079.84,3058.09
Denmark,Europe,2019,Biomass,1663.12,1334.4
Denmark,Europe,2019,Solar,12916.64,18952.62
Finland,Europe,2019,Hydro,2106.12,2538.04
Finland,Europe,2019,Biomass,3174.07,2807.94
Finland,Europe,2019,Wind,5771.54,3967.22
Finland,Europe,2019,Geothermal,4036.81,3019.32
Finland,Europe,2019,Solar,3401.15,2117.38
France,Europe,2019,Biomass,4609.55,6691.98
France,Europe,2019,Tidal,2522.71,2312.47
France,Europe,2019,Solar,974.82,1074.54
Germany,Europe,2019,Geothermal,9799.42,8586.92
Germany,Europe,2019,Wind,6282.09,3949.55
Germany,Europe,2019,Solar,13089.33,11045.61
Germany,Europe,2019,Biomass,1857.73,2452.34
Italy,Europe,2019,Wind,7443.56,5018.45
Italy,Europe,2019,Solar,1250.66,1808.16
Italy,Europe,2019,Hydro,4306.6,4939.87
Netherlands,Europe,2019,Hydro,2747.74,3996.11
Netherlands,Europe,2019,Biomass,1925.2,1609.09
Netherlands,Europe,2019,Geothermal,1177.24,1384.31
Netherlands,Europe,2019,Tidal,899.14,1401.89
Norway,Europe,2019,Solar,6228.06,7214.24
Norway,Europe,2019,Geothermal,4931.97,3207.51
Norway,Europe,2019,Wind,4188.36,3170.28
Norway,Europe,2019,Tidal,1871.64,2726.21
Norway,Europe,2019,Biomass,2439.03,2036.59
Poland,Europe,2019,Solar,1129.54,1511.04
Spain,Europe,2019,Hydro,2454.44,2425.66
Spain,Europe,2019,Tidal,2520.28,3642.86
Spain,Europe,2019,Geothermal,2861.88,2260.64
Spain,Europe,2019,Biomass,2901.75,4018.63
Sweden,Europe,2019,Solar,3967.67,2554.59
Sweden,Europe,2019,Hydro,2996.8,1820.05
Sweden,Europe,2019,Wind,3644.32,5642.18
United Kingdom,Europe,2019,Wind,8113.52,5672.8
United Kingdom,Europe,2019,Hydro,8494.86,11629.15
United Kingdom,Europe,2019,Geothermal,5299.43,4390.54
Canada,North America,2019,Hydro,10166.65,11551.51
Canada,North America,2019,Biomass,1952.08,2019.55
Canada,North America,2019,Wind,13531.57,11895.94
Canada,North America,2019,Solar,1237.67,981.63
Mexico,North America,2019,Geothermal,8122.8,8623.34
Mexico,North America,2019,Hydro,3677.12,4212.62
Mexico,North America,2019,Biomass,2724.33,3522.11
United States,North America,2019,Tidal,2148.22,2447.64
United States,North America,2019,Geothermal,2643.88,2058.66
United States,North America,2019,Wind,1862.61,2311.43
United States,North America,2019,Biomass,2118.1,2624.22
United States,North America,2019,Solar,606.88,801.52
Australia,Oceania,2019,Tidal,727.89,1061.01
Australia,Oceania,2019,Hydro,1317.27,1881.51
Australia,Oceania,2019,Biomass,615.64,430.69
Australia,Oceania,2019,Solar,3982.8,5034.83
Argentina,South America,2019,Biomass,4673.67,3411.35
Argentina,South America,2019,Wind,1577.51,1393.41
Argentina,South America,2019,Hydro,574.66,884.12
Argentina,South America,2019,Tidal,2874.91,4505.46
Brazil,South America,2019,Hydro,3535.3,4096.88
Brazil,South America,2019,Geothermal,2388.05,3718.24
Brazil,South America,2019,Solar,4853.11,3836.29
Brazil,South America,2019,Wind,3956.02,5829.67
Chile,South America,2019,Solar,7229.82,5258.93
Chile,South America,2019,Biomass,6434.74,7663.58
Chile,South America,2019,Wind,7800.32,7222.08
Chile,South America,2019,Tidal,5066.06,5798.24
Chile,South America,2019,Geothermal,5041.69,7935.07
South Africa,Africa,2020,Biomass,1674.23,1268.42
South Africa,Africa,2020,Geothermal,10366.38,8372.26
South Africa,Africa,2020,Wind,2468.25,3406.03
South Africa,Africa,2020,Tidal,6308.12,4039.28
South Africa,Africa,2020,Hydro,1945.49,2074
China,Asia,2020,Hydro,5075.3,5425.57
China,Asia,2020,Wind,5774.8,6057.35
China,Asia,2020,Geothermal,7475.71,11844.81
China,Asia,2020,Biomass,2794.61,3150.81
India,Asia,2020,Biomass,3762.28,4646.63
India,Asia,2020,Solar,11275.58,13979.4
India,Asia,2020,Geothermal,3856.67,5942.76
Japan,Asia,2020,Wind,4383.78,6736.42
Japan,Asia,2020,Geothermal,3024.89,3313.42
Japan,Asia,2020,Solar,5958.4,4108.08
