Business Name,Category,City,Customer ID,Date,State,Number of Records,Spend
SUSHISAMBA Las Vegas,Restaurants,Paradise,NW_WOT7RcWvmFZRh98CKyA,1/8/2015,NV,1,53.97
CUT,Cafes,Henderson,OVkhCFhx4gk07t3DrkJm6w,1/9/2015,NV,1,
CUT,Bars,Henderson,OVkhCFhx4gk07t3DrkJm6w,1/9/2015,NV,1,
CUT,Restaurants,Henderson,OVkhCFhx4gk07t3DrkJm6w,1/9/2015,NV,1,266.34
Margaritaville,Restaurants,Henderson,L-kiY8WvsrIzcyFvJtpGVQ,1/9/2015,NV,1,
Margaritaville,Cafes,Henderson,L-kiY8WvsrIzcyFvJtpGVQ,1/9/2015,NV,1,
Margaritaville,Bars,Henderson,L-kiY8WvsrIzcyFvJtpGVQ,1/9/2015,NV,1,63.55
SUSHISAMBA Las Vegas,Cafes,Henderson,lScAaXwR6TeiH59Hv2vjPQ,1/9/2015,NV,1,
SUSHISAMBA Las Vegas,Bars,Henderson,lScAaXwR6TeiH59Hv2vjPQ,1/9/2015,NV,1,
SUSHISAMBA Las Vegas,Restaurants,Henderson,lScAaXwR6TeiH59Hv2vjPQ,1/9/2015,NV,1,213.36
CUT,Cafes,Paradise,Nt8Ikt-sEsuZLg9JshxAMA,1/9/2015,NV,1,
CUT,Bars,Paradise,Nt8Ikt-sEsuZLg9JshxAMA,1/9/2015,NV,1,
CUT,Restaurants,Paradise,Nt8Ikt-sEsuZLg9JshxAMA,1/9/2015,NV,1,359.48
Frankie's Tiki Room,Cafes,Henderson,j3DmFPyisJPtJoFdzAkm9g,1/10/2015,NV,1,
Frankie's Tiki Room,Bars,Henderson,j3DmFPyisJPtJoFdzAkm9g,1/10/2015,NV,1,
Frankie's Tiki Room,Restaurants,Henderson,j3DmFPyisJPtJoFdzAkm9g,1/10/2015,NV,1,72.74
The Bagel Café,Bars,Henderson,PQe5OJC-vAMMSyI-9xAjOA,1/10/2015,NV,1,
The Bagel Café,Restaurants,Henderson,PQe5OJC-vAMMSyI-9xAjOA,1/10/2015,NV,1,
The Bagel Café,Cafes,Henderson,PQe5OJC-vAMMSyI-9xAjOA,1/10/2015,NV,1,28.4
The Chandelier,Cafes,Henderson,6uugz8picdVrjgmkymurXg,1/10/2015,NV,1,
The Chandelier,Bars,Henderson,6uugz8picdVrjgmkymurXg,1/10/2015,NV,1,
The Chandelier,Restaurants,Henderson,6uugz8picdVrjgmkymurXg,1/10/2015,NV,1,108.65
The Chandelier,Cafes,Henderson,ap4taRzgmqmEvAe_x-tQYg,1/10/2015,NV,1,
The Chandelier,Bars,Henderson,ap4taRzgmqmEvAe_x-tQYg,1/10/2015,NV,1,
The Chandelier,Restaurants,Henderson,ap4taRzgmqmEvAe_x-tQYg,1/10/2015,NV,1,85.83
The Peppermill Restaurant & Fireside Lounge,Cafes,Henderson,128vJ0Y8wpceWulSOf1-lw,1/10/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Bars,Henderson,128vJ0Y8wpceWulSOf1-lw,1/10/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Restaurants,Henderson,128vJ0Y8wpceWulSOf1-lw,1/10/2015,NV,1,195.23
CUT,Cafes,Henderson,Oku43zC6_N7LAbwmVxSNbA,1/11/2015,NV,1,
CUT,Bars,Henderson,Oku43zC6_N7LAbwmVxSNbA,1/11/2015,NV,1,
CUT,Restaurants,Henderson,Oku43zC6_N7LAbwmVxSNbA,1/11/2015,NV,1,243.98
Nora's Cuisine,Cafes,Henderson,FbvuZyo2VRAq0XL3UOy_Zw,1/11/2015,NV,1,
Nora's Cuisine,Restaurants,Henderson,FbvuZyo2VRAq0XL3UOy_Zw,1/11/2015,NV,1,
Nora's Cuisine,Bars,Henderson,FbvuZyo2VRAq0XL3UOy_Zw,1/11/2015,NV,1,33.1
Scarpetta,Restaurants,Henderson,cn2PSfTiDcYJ-OOWvP10Yg,1/11/2015,NV,1,
Scarpetta,Cafes,Henderson,cn2PSfTiDcYJ-OOWvP10Yg,1/11/2015,NV,1,
Scarpetta,Bars,Henderson,cn2PSfTiDcYJ-OOWvP10Yg,1/11/2015,NV,1,60.08
Scarpetta,Restaurants,Henderson,rXXbSOG1yx9s-c-YpJz4YQ,1/11/2015,NV,1,
Scarpetta,Cafes,Henderson,rXXbSOG1yx9s-c-YpJz4YQ,1/11/2015,NV,1,
Scarpetta,Bars,Henderson,rXXbSOG1yx9s-c-YpJz4YQ,1/11/2015,NV,1,-13.26
Scarpetta,Cafes,Henderson,YgFHnFqxtO5tWYcG2E9ftw,1/11/2015,NV,1,
Scarpetta,Restaurants,Henderson,YgFHnFqxtO5tWYcG2E9ftw,1/11/2015,NV,1,
Scarpetta,Bars,Henderson,YgFHnFqxtO5tWYcG2E9ftw,1/11/2015,NV,1,33.5
The Peppermill Restaurant & Fireside Lounge,Bars,Henderson,Oa5Hi-d523YIXHnFnE_EVw,1/11/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Cafes,Henderson,Oa5Hi-d523YIXHnFnE_EVw,1/11/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Restaurants,Henderson,Oa5Hi-d523YIXHnFnE_EVw,1/11/2015,NV,1,308.36
Fat Tuesday,Bars,Las Vegas,NW_WOT7RcWvmFZRh98CKyA,1/11/2015,NV,1,
Fat Tuesday,Cafes,Las Vegas,NW_WOT7RcWvmFZRh98CKyA,1/11/2015,NV,1,
Fat Tuesday,Restaurants,Las Vegas,NW_WOT7RcWvmFZRh98CKyA,1/11/2015,NV,1,339.98
LAVO Italian Restaurant & Lounge,Cafes,Las Vegas,V1qmCtP5bAat9CSRugNXZA,1/12/2015,NV,1,
LAVO Italian Restaurant & Lounge,Restaurants,Las Vegas,V1qmCtP5bAat9CSRugNXZA,1/12/2015,NV,1,
LAVO Italian Restaurant & Lounge,Bars,Las Vegas,V1qmCtP5bAat9CSRugNXZA,1/12/2015,NV,1,51.53
Margaritaville,Cafes,Las Vegas,CbYYyBTj-NH6DfnO_NSMaw,1/12/2015,NV,1,
Margaritaville,Restaurants,Las Vegas,CbYYyBTj-NH6DfnO_NSMaw,1/12/2015,NV,1,
Margaritaville,Bars,Las Vegas,CbYYyBTj-NH6DfnO_NSMaw,1/12/2015,NV,1,38.82
Nora's Cuisine,Restaurants,Las Vegas,CRywkebZtGq0lKcbRlOPqQ,1/12/2015,NV,1,
Nora's Cuisine,Cafes,Las Vegas,CRywkebZtGq0lKcbRlOPqQ,1/12/2015,NV,1,
Nora's Cuisine,Bars,Las Vegas,CRywkebZtGq0lKcbRlOPqQ,1/12/2015,NV,1,34.75
Scarpetta,Cafes,Las Vegas,q8NswkHBFnZRzcHWEGhqXw,1/12/2015,NV,1,
Scarpetta,Restaurants,Las Vegas,q8NswkHBFnZRzcHWEGhqXw,1/12/2015,NV,1,
Scarpetta,Bars,Las Vegas,q8NswkHBFnZRzcHWEGhqXw,1/12/2015,NV,1,13.4
The Chandelier,Bars,Las Vegas,8FpaH3rAw4cr5b5ZefJVWg,1/12/2015,NV,1,
The Chandelier,Cafes,Las Vegas,8FpaH3rAw4cr5b5ZefJVWg,1/12/2015,NV,1,
The Chandelier,Restaurants,Las Vegas,8FpaH3rAw4cr5b5ZefJVWg,1/12/2015,NV,1,267.14
The Chandelier,Cafes,Las Vegas,EaE0VFIsbhMNoWIIczyneA,1/12/2015,NV,1,
The Chandelier,Bars,Las Vegas,EaE0VFIsbhMNoWIIczyneA,1/12/2015,NV,1,
The Chandelier,Restaurants,Las Vegas,EaE0VFIsbhMNoWIIczyneA,1/12/2015,NV,1,275.43
The Peppermill Restaurant & Fireside Lounge,Bars,Las Vegas,2vBTkytEQneHyWcUnCQ04g,1/12/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Cafes,Las Vegas,2vBTkytEQneHyWcUnCQ04g,1/12/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Restaurants,Las Vegas,2vBTkytEQneHyWcUnCQ04g,1/12/2015,NV,1,407.25
CUT,Bars,Las Vegas,RcvWJWTo2PKAxr-SEFXfRg,1/13/2015,NV,1,
CUT,Cafes,Las Vegas,RcvWJWTo2PKAxr-SEFXfRg,1/13/2015,NV,1,
CUT,Restaurants,Las Vegas,RcvWJWTo2PKAxr-SEFXfRg,1/13/2015,NV,1,279.19
CUT,Bars,Las Vegas,VvrOVlFzCbkOVX4PsF3BOw,1/13/2015,NV,1,
CUT,Cafes,Las Vegas,VvrOVlFzCbkOVX4PsF3BOw,1/13/2015,NV,1,
CUT,Restaurants,Las Vegas,VvrOVlFzCbkOVX4PsF3BOw,1/13/2015,NV,1,252.77
Fat Tuesday,Bars,Las Vegas,PZOSzR6fS3utCB9UlLXs-Q,1/13/2015,NV,1,
Fat Tuesday,Cafes,Las Vegas,PZOSzR6fS3utCB9UlLXs-Q,1/13/2015,NV,1,
Fat Tuesday,Restaurants,Las Vegas,PZOSzR6fS3utCB9UlLXs-Q,1/13/2015,NV,1,79.5
Scarpetta,Cafes,Las Vegas,eGdk9XWbnJ8FqFkgumI3gQ,1/13/2015,NV,1,
Scarpetta,Restaurants,Las Vegas,eGdk9XWbnJ8FqFkgumI3gQ,1/13/2015,NV,1,
Scarpetta,Bars,Las Vegas,eGdk9XWbnJ8FqFkgumI3gQ,1/13/2015,NV,1,109.87
SUSHISAMBA Las Vegas,Cafes,Las Vegas,N9G69VkLMihbHdoUzbeM1Q,1/13/2015,NV,1,
SUSHISAMBA Las Vegas,Bars,Las Vegas,N9G69VkLMihbHdoUzbeM1Q,1/13/2015,NV,1,
SUSHISAMBA Las Vegas,Restaurants,Las Vegas,N9G69VkLMihbHdoUzbeM1Q,1/13/2015,NV,1,177.65
SUSHISAMBA Las Vegas,Cafes,Las Vegas,UTtK5S4o7yhHsNcPMI9RMg,1/13/2015,NV,1,
SUSHISAMBA Las Vegas,Bars,Las Vegas,UTtK5S4o7yhHsNcPMI9RMg,1/13/2015,NV,1,
SUSHISAMBA Las Vegas,Restaurants,Las Vegas,UTtK5S4o7yhHsNcPMI9RMg,1/13/2015,NV,1,212.49
The Chandelier,Cafes,Las Vegas,A6wgWkC3gsMaTqMyimFp9A,1/13/2015,NV,1,
The Chandelier,Bars,Las Vegas,A6wgWkC3gsMaTqMyimFp9A,1/13/2015,NV,1,
The Chandelier,Restaurants,Las Vegas,A6wgWkC3gsMaTqMyimFp9A,1/13/2015,NV,1,214.03
The Peppermill Restaurant & Fireside Lounge,Cafes,Las Vegas,6iJO200dwX-G6teL5C2t6Q,1/13/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Bars,Las Vegas,6iJO200dwX-G6teL5C2t6Q,1/13/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Restaurants,Las Vegas,6iJO200dwX-G6teL5C2t6Q,1/13/2015,NV,1,181.11
CUT,Bars,Las Vegas,xGTSn8aKFDgbQKuXRhkGaQ,1/14/2015,NV,1,
CUT,Cafes,Las Vegas,xGTSn8aKFDgbQKuXRhkGaQ,1/14/2015,NV,1,
CUT,Restaurants,Las Vegas,xGTSn8aKFDgbQKuXRhkGaQ,1/14/2015,NV,1,197.86
Encore Beach Club,Restaurants,Las Vegas,LIkcT9M7SRWGm7G1fzi59Q,1/14/2015,NV,1,
Encore Beach Club,Cafes,Las Vegas,LIkcT9M7SRWGm7G1fzi59Q,1/14/2015,NV,1,
Encore Beach Club,Bars,Las Vegas,LIkcT9M7SRWGm7G1fzi59Q,1/14/2015,NV,1,-21.79
Nora's Cuisine,Cafes,Las Vegas,m-0xsGsVMk2QhNpkIxX6zw,1/14/2015,NV,1,
Nora's Cuisine,Restaurants,Las Vegas,m-0xsGsVMk2QhNpkIxX6zw,1/14/2015,NV,1,
Nora's Cuisine,Bars,Las Vegas,m-0xsGsVMk2QhNpkIxX6zw,1/14/2015,NV,1,32.34
Encore Beach Club,Restaurants,Las Vegas,SdZtzMCtVK7izX8twot9rQ,1/15/2015,NV,1,
Encore Beach Club,Cafes,Las Vegas,SdZtzMCtVK7izX8twot9rQ,1/15/2015,NV,1,
Encore Beach Club,Bars,Las Vegas,SdZtzMCtVK7izX8twot9rQ,1/15/2015,NV,1,0.97
Fat Tuesday,Bars,Las Vegas,KLbm5X6RXkIRoDZ0GH-E-g,1/15/2015,NV,1,
Fat Tuesday,Cafes,Las Vegas,KLbm5X6RXkIRoDZ0GH-E-g,1/15/2015,NV,1,
Fat Tuesday,Restaurants,Las Vegas,KLbm5X6RXkIRoDZ0GH-E-g,1/15/2015,NV,1,109.76
The Chandelier,Bars,Las Vegas,iF5cI1t2kMtrIpm_iKdmeg,1/15/2015,NV,1,
The Chandelier,Cafes,Las Vegas,iF5cI1t2kMtrIpm_iKdmeg,1/15/2015,NV,1,
The Chandelier,Restaurants,Las Vegas,iF5cI1t2kMtrIpm_iKdmeg,1/15/2015,NV,1,87.71
Frankie's Tiki Room,Bars,Las Vegas,yO62bWnU0deJaiZc5htLgQ,1/16/2015,NV,1,
Frankie's Tiki Room,Cafes,Las Vegas,yO62bWnU0deJaiZc5htLgQ,1/16/2015,NV,1,
Frankie's Tiki Room,Restaurants,Las Vegas,yO62bWnU0deJaiZc5htLgQ,1/16/2015,NV,1,202.94
Scarpetta,Restaurants,Las Vegas,EmyJfRnBICQA9lWnvjwPiA,1/16/2015,NV,1,
Scarpetta,Cafes,Las Vegas,EmyJfRnBICQA9lWnvjwPiA,1/16/2015,NV,1,
Scarpetta,Bars,Las Vegas,EmyJfRnBICQA9lWnvjwPiA,1/16/2015,NV,1,50.29
SUSHISAMBA Las Vegas,Bars,Las Vegas,1w32UX4lKRA18ITs66IjAw,1/16/2015,NV,1,
SUSHISAMBA Las Vegas,Cafes,Las Vegas,1w32UX4lKRA18ITs66IjAw,1/16/2015,NV,1,
SUSHISAMBA Las Vegas,Restaurants,Las Vegas,1w32UX4lKRA18ITs66IjAw,1/16/2015,NV,1,-90.29
SUSHISAMBA Las Vegas,Bars,Las Vegas,OldskeQ-d3sonyBvgqP5fQ,1/16/2015,NV,1,
SUSHISAMBA Las Vegas,Cafes,Las Vegas,OldskeQ-d3sonyBvgqP5fQ,1/16/2015,NV,1,
SUSHISAMBA Las Vegas,Restaurants,Las Vegas,OldskeQ-d3sonyBvgqP5fQ,1/16/2015,NV,1,117.21
Margaritaville,Cafes,Las Vegas,4IBXnq5ia-27waHfZYGilQ,1/17/2015,NV,1,
Margaritaville,Restaurants,Las Vegas,4IBXnq5ia-27waHfZYGilQ,1/17/2015,NV,1,
Margaritaville,Bars,Las Vegas,4IBXnq5ia-27waHfZYGilQ,1/17/2015,NV,1,53.66
The Bagel Café,Restaurants,Las Vegas,EmyJfRnBICQA9lWnvjwPiA,1/17/2015,NV,1,
The Bagel Café,Bars,Las Vegas,EmyJfRnBICQA9lWnvjwPiA,1/17/2015,NV,1,
The Bagel Café,Cafes,Las Vegas,EmyJfRnBICQA9lWnvjwPiA,1/17/2015,NV,1,37.37
The Bagel Café,Restaurants,Las Vegas,PuOB5r52nV70LXObXyOwuA,1/17/2015,NV,1,
The Bagel Café,Bars,Las Vegas,PuOB5r52nV70LXObXyOwuA,1/17/2015,NV,1,
The Bagel Café,Cafes,Las Vegas,PuOB5r52nV70LXObXyOwuA,1/17/2015,NV,1,21.04
The Peppermill Restaurant & Fireside Lounge,Cafes,Las Vegas,PQJ8CxK8xxaecDsie5hyaA,1/17/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Bars,Las Vegas,PQJ8CxK8xxaecDsie5hyaA,1/17/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Restaurants,Las Vegas,PQJ8CxK8xxaecDsie5hyaA,1/17/2015,NV,1,73.91
CUT,Bars,Las Vegas,efiYw01XvuSq_j6Sal_XiQ,1/18/2015,NV,1,
CUT,Cafes,Las Vegas,efiYw01XvuSq_j6Sal_XiQ,1/18/2015,NV,1,
CUT,Restaurants,Las Vegas,efiYw01XvuSq_j6Sal_XiQ,1/18/2015,NV,1,309.92
Margaritaville,Cafes,Las Vegas,1YsyOr0xnSxEdzQgfkYgTA,1/18/2015,NV,1,
Margaritaville,Restaurants,Las Vegas,1YsyOr0xnSxEdzQgfkYgTA,1/18/2015,NV,1,
Margaritaville,Bars,Las Vegas,1YsyOr0xnSxEdzQgfkYgTA,1/18/2015,NV,1,-1.71
Margaritaville,Restaurants,Las Vegas,lRfdcptGBxolpkBPlZ358A,1/18/2015,NV,1,
Margaritaville,Cafes,Las Vegas,lRfdcptGBxolpkBPlZ358A,1/18/2015,NV,1,
Margaritaville,Bars,Las Vegas,lRfdcptGBxolpkBPlZ358A,1/18/2015,NV,1,66.02
Margaritaville,Restaurants,Las Vegas,x9ceI40fGPCkrw8GAgBXoA,1/18/2015,NV,1,
Margaritaville,Cafes,Las Vegas,x9ceI40fGPCkrw8GAgBXoA,1/18/2015,NV,1,
Margaritaville,Bars,Las Vegas,x9ceI40fGPCkrw8GAgBXoA,1/18/2015,NV,1,97.32
Nora's Cuisine,Cafes,Las Vegas,dt-PrUupgaDK5qZccBdT9w,1/18/2015,NV,1,
Nora's Cuisine,Restaurants,Las Vegas,dt-PrUupgaDK5qZccBdT9w,1/18/2015,NV,1,
Nora's Cuisine,Bars,Las Vegas,dt-PrUupgaDK5qZccBdT9w,1/18/2015,NV,1,97.67
SUSHISAMBA Las Vegas,Bars,Las Vegas,V1qmCtP5bAat9CSRugNXZA,1/18/2015,NV,1,
SUSHISAMBA Las Vegas,Cafes,Las Vegas,V1qmCtP5bAat9CSRugNXZA,1/18/2015,NV,1,
SUSHISAMBA Las Vegas,Restaurants,Las Vegas,V1qmCtP5bAat9CSRugNXZA,1/18/2015,NV,1,211.28
The Chandelier,Cafes,Las Vegas,sAFOZbX0nIpop-uzQ9VMGw,1/18/2015,NV,1,
The Chandelier,Bars,Las Vegas,sAFOZbX0nIpop-uzQ9VMGw,1/18/2015,NV,1,
The Chandelier,Restaurants,Las Vegas,sAFOZbX0nIpop-uzQ9VMGw,1/18/2015,NV,1,401.19
Frankie's Tiki Room,Bars,Las Vegas,ngUiYmG59Vbhgjx2RH4mww,1/19/2015,NV,1,
Frankie's Tiki Room,Cafes,Las Vegas,ngUiYmG59Vbhgjx2RH4mww,1/19/2015,NV,1,
Frankie's Tiki Room,Restaurants,Las Vegas,ngUiYmG59Vbhgjx2RH4mww,1/19/2015,NV,1,256.35
LAVO Italian Restaurant & Lounge,Restaurants,Las Vegas,aMMe6XjL04ftRwEKiOAj2Q,1/19/2015,NV,1,
LAVO Italian Restaurant & Lounge,Cafes,Las Vegas,aMMe6XjL04ftRwEKiOAj2Q,1/19/2015,NV,1,
LAVO Italian Restaurant & Lounge,Bars,Las Vegas,aMMe6XjL04ftRwEKiOAj2Q,1/19/2015,NV,1,76.46
SUSHISAMBA Las Vegas,Cafes,Las Vegas,s5TKbtPmScdaT1XepvdcAg,1/19/2015,NV,1,
SUSHISAMBA Las Vegas,Bars,Las Vegas,s5TKbtPmScdaT1XepvdcAg,1/19/2015,NV,1,
SUSHISAMBA Las Vegas,Restaurants,Las Vegas,s5TKbtPmScdaT1XepvdcAg,1/19/2015,NV,1,118.56
The Peppermill Restaurant & Fireside Lounge,Bars,Las Vegas,oJLVyyC6g2MzUD2Ltrlstg,1/19/2015,NV,1,
